Country,GDP,Capitalization_PC,Democracy,Ruleoflaw,code
Argentina,22302,580.4298653,0.333333333,0.179487179,AR
Armenia,8164,44.07032911,0.205128205,0.256410256,AM
Australia,46550,53584.02859,0.884615385,0.897435897,AU
Austria,46640,12188.53918,0.820512821,0.794871795,AT
Bangladesh,3391,165.6881686,0.141025641,0.012820513,BD
Belgium,43139,26539.643,0.923076923,0.858974359,BE
Bolivia,6224,404.6423419,0.371794872,0.217948718,BO
Botswana,17050,2142.492595,0.576923077,0.743589744,BW
Brazil,16155,5979.463144,0.448717949,0.435897436,BR
Bulgaria,17926,919.9136153,0.512820513,0.461538462,BG
Canada,44967,56025.50854,0.91025641,0.91025641,CA
Chile,23057,17223.32467,0.769230769,0.807692308,CL
China,13224,2688.925413,0.051282051,0.230769231,CN
Colombia,13480,5399.557489,0.282051282,0.269230769,CO
Cote d'Ivoire,3101,357.3941027,0.230769231,0.141025641,CI
Croatia,20947,5094.979878,0.628205128,0.538461538,HR
Denmark,44625,39398.30226,1,1,DK
Dominican Republic,14014,13.89571957,0.397435897,0.153846154,DO
Egypt,10918,654.2032097,0.128205128,0.243589744,EG
El Salvador,8060,1647.524221,0.474358974,0.384615385,SV
Estonia,27880,1777.736761,0.846153846,0.782051282,EE
Finland,40661,28851.41594,0.987179487,0.987179487,FI
France,40538,28263.03474,0.794871795,0.769230769,FR
Germany,46216,18246.11154,0.897435897,0.884615385,DE
Ghana,4137,113.8554459,0.653846154,0.551282051,GH
Greece,25954,4137.239502,0.435897436,0.423076923,GR
Hungary,25019,2107.846482,0.641025641,0.628205128,HU
India,5808,983.1745735,0.461538462,0.333333333,IN
Indonesia,10651,1533.685085,0.346153846,0.192307692,ID
Iran,17443,1782.00622,0,0.051282051,IR
Ireland,51284,23517.71152,0.871794872,0.833333333,IE
Israel,33136,17538.37065,0.679487179,0.705128205,IL
Italy,35131,7917.836166,0.692307692,0.474358974,IT
Jamaica,8610,2346.64037,0.564102564,0.358974359,JM
Japan,37519,29027.52149,0.807692308,0.846153846,JP
Jordan,11971,2829.237812,0.243589744,0.576923077,JO
Kazakstan,24108,1332.280755,0.012820513,0.115384615,KZ
Kenya,3099,312.6600495,0.115384615,0,KE
"Korea, South",34355,22903.25508,0.58974359,0.653846154,KR
Kyrgyzstan,3262,27.45572415,0.064102564,0.064102564,KG
Latvia,23793,565.5545018,0.602564103,0.666666667,LV
Lebanon,18052,1751.029,0.192307692,0.076923077,LB
Lithuania,27259,1372.197439,0.756410256,0.692307692,LT
Macedonia,13398,270.1851437,0.384615385,0.525641026,MC
Malawi,1112,44.76657334,0.256410256,0.166666667,MW
Malaysia,25145,15431.1649,0.294871795,0.615384615,MY
Mauritius,18689,5685.501145,0.666666667,0.641025641,MR
Mexico,17950,4294.119331,0.320512821,0.205128205,MX
Mongolia,11919,421.2482615,0.615384615,0.397435897,MN
Morocco,7813,1574.197056,0.153846154,0.371794872,MA
Namibia,10656,560.6608157,0.551282051,0.58974359,NA
Netherlands,47960,38314.18617,0.935897436,0.923076923,NL
Nigeria,6054,301.5661968,0.217948718,0.08974359,NG
Norway,67166,48513.75675,0.961538462,0.961538462,NO
Oman,43847,6930.388392,0.179487179,0.5,OM
Panama,19546,3288.356116,0.358974359,0.282051282,PA
Peru,11860,3258.842061,0.423076923,0.320512821,PE
Philippines,6974,2568.100459,0.41025641,0.307692308,PH
Poland,25247,4618.282923,0.743589744,0.730769231,PL
Portugal,27069,6315.19654,0.782051282,0.756410256,PT
Romania,19744,799.4612557,0.487179487,0.448717949,RO
Russia,24449,5969.563463,0.025641026,0.102564103,RU
Saudi Arabia,52311,11578.32065,0.08974359,0.564102564,SA
Serbia,13378,1047.251818,0.5,0.41025641,RS
Singapore,83066,74819.5122,0.307692308,0.935897436,SG
Slovakia,28279,850.0204091,0.705128205,0.602564103,SK
Slovenia,29867,3128.30654,0.730769231,0.679487179,SI
South Africa,13094,11141.60369,0.525641026,0.487179487,ZA
Spain,33835,21435.35808,0.717948718,0.717948718,ES
Sweden,46219,56900.31801,0.974358974,0.974358974,SE
Switzerland,58149,129905.3719,0.948717949,0.948717949,CH
Thailand,15579,5870.025765,0.166666667,0.294871795,TH
Trinidad and Tobago,32170,11236.38646,0.538461538,0.346153846,TT
Turkey,19698,3921.397902,0.269230769,0.512820513,TR
Uganda,1939,209.2599066,0.102564103,0.038461538,UG
Ukraine,8681,484.1978482,0.076923077,0.025641026,UA
United Kingdom,39826,46384.16517,0.858974359,0.871794872,GB
United States,54370,57811.62903,0.833333333,0.820512821,US
Vietnam,5656,354.9934569,0.038461538,0.128205128,VN
